< address >            hexcode                           < mnemonica >                 
0x00000000           0x00000002                         DATA 2 ABSOLUTE
0x00000001           0x0000000C                         DATA 12 DIRECT
0x00000002           0x00000048                         DATA 72 DIRECT
0x00000003           0x00000065                         DATA 101 DIRECT
0x00000004           0x0000006C                         DATA 108 DIRECT
0x00000005           0x0000006C                         DATA 108 DIRECT
0x00000006           0x0000006F                         DATA 111 DIRECT
0x00000007           0x00000020                         DATA 32 DIRECT
0x00000008           0x00000077                         DATA 119 DIRECT
0x00000009           0x0000006F                         DATA 111 DIRECT
0x0000000A           0x00000072                         DATA 114 DIRECT
0x0000000B           0x0000006C                         DATA 108 DIRECT
0x0000000C           0x00000064                         DATA 100 DIRECT
0x0000000D           0x00000021                         DATA 33 DIRECT
0x0000000E           0x00000000                         DATA 0 DIRECT
0x0000000F           0x22000001                         LD 1 ABSOLUTE
0x00000010           0x2600000E                         ST 14 ABSOLUTE
0x00000011           0x2200000E                         LD 14 ABSOLUTE
0x00000012           0x2D00001B                         BEQ 27 DIRECT
0x00000013           0x84000000                         DEC
0x00000014           0x2600000E                         ST 14 ABSOLUTE
0x00000015           0x23000000                         LD 0 RELATIVE
0x00000016           0x58000000                         OUTC
0x00000017           0x22000000                         LD 0 ABSOLUTE
0x00000018           0x40000000                         INC
0x00000019           0x26000000                         ST 0 ABSOLUTE
0x0000001A           0x29000011                         JUMP 17 DIRECT
0x0000001B           0x4C000000                         HLT
