< address >            hexcode                           < mnemonica >                 
0x00000000           0x00000000                         DATA 0 DIRECT
0x00000001           0x00000000                         DATA 0 DIRECT
0x00000002           0x00000000                         DATA 0 DIRECT
0x00000003           0x00000000                         DATA 0 DIRECT
0x00000004           0x00000000                         DATA 0 DIRECT
0x00000005           0x00000000                         DATA 0 DIRECT
0x00000006           0x00000000                         DATA 0 DIRECT
0x00000007           0x00000000                         DATA 0 DIRECT
0x00000008           0x00000000                         DATA 0 DIRECT
0x00000009           0x00000000                         DATA 0 DIRECT
0x0000000A           0x00000000                         DATA 0 DIRECT
0x0000000B           0x00000000                         DATA 0 DIRECT
0x0000000C           0x00000000                         DATA 0 DIRECT
0x0000000D           0x00000000                         DATA 0 DIRECT
0x0000000E           0x00000000                         DATA 0 DIRECT
0x0000000F           0x00000000                         DATA 0 DIRECT
0x00000010           0x00000000                         DATA 0 DIRECT
0x00000011           0x00000000                         DATA 0 DIRECT
0x00000012           0x00000000                         DATA 0 DIRECT
0x00000013           0x00000000                         DATA 0 DIRECT
0x00000014           0x00000000                         DATA 0 DIRECT
0x00000015           0x00000000                         DATA 0 DIRECT
0x00000016           0x00000000                         DATA 0 DIRECT
0x00000017           0x00000000                         DATA 0 DIRECT
0x00000018           0x22000017                         LD 23 ABSOLUTE
0x00000019           0x26000000                         ST 0 ABSOLUTE
0x0000001A           0x210003E8                         LD 1000 DIRECT
0x0000001B           0x26000001                         ST 1 ABSOLUTE
0x0000001C           0x22000000                         LD 0 ABSOLUTE
0x0000001D           0x1A000001                         CMP 1 ABSOLUTE
0x0000001E           0x35000058                         BGE 88 DIRECT
0x0000001F           0x22000017                         LD 23 ABSOLUTE
0x00000020           0x26000002                         ST 2 ABSOLUTE
0x00000021           0x21000003                         LD 3 DIRECT
0x00000022           0x26000003                         ST 3 ABSOLUTE
0x00000023           0x22000002                         LD 2 ABSOLUTE
0x00000024           0x16000003                         MOD 3 ABSOLUTE
0x00000025           0x26000004                         ST 4 ABSOLUTE
0x00000026           0x21000000                         LD 0 DIRECT
0x00000027           0x26000005                         ST 5 ABSOLUTE
0x00000028           0x22000004                         LD 4 ABSOLUTE
0x00000029           0x1A000005                         CMP 5 ABSOLUTE
0x0000002A           0x31000041                         BNE 65 DIRECT
0x0000002B           0x22000017                         LD 23 ABSOLUTE
0x0000002C           0x26000006                         ST 6 ABSOLUTE
0x0000002D           0x22000014                         LD 20 ABSOLUTE
0x0000002E           0x06000006                         ADD 6 ABSOLUTE
0x0000002F           0x26000014                         ST 20 ABSOLUTE
0x00000030           0x22000017                         LD 23 ABSOLUTE
0x00000031           0x26000007                         ST 7 ABSOLUTE
0x00000032           0x21000005                         LD 5 DIRECT
0x00000033           0x26000008                         ST 8 ABSOLUTE
0x00000034           0x22000007                         LD 7 ABSOLUTE
0x00000035           0x16000008                         MOD 8 ABSOLUTE
0x00000036           0x26000009                         ST 9 ABSOLUTE
0x00000037           0x21000000                         LD 0 DIRECT
0x00000038           0x2600000A                         ST 10 ABSOLUTE
0x00000039           0x22000009                         LD 9 ABSOLUTE
0x0000003A           0x1A00000A                         CMP 10 ABSOLUTE
0x0000003B           0x31000041                         BNE 65 DIRECT
0x0000003C           0x22000017                         LD 23 ABSOLUTE
0x0000003D           0x2600000B                         ST 11 ABSOLUTE
0x0000003E           0x22000015                         LD 21 ABSOLUTE
0x0000003F           0x0600000B                         ADD 11 ABSOLUTE
0x00000040           0x26000015                         ST 21 ABSOLUTE
0x00000041           0x22000017                         LD 23 ABSOLUTE
0x00000042           0x2600000C                         ST 12 ABSOLUTE
0x00000043           0x21000005                         LD 5 DIRECT
0x00000044           0x2600000D                         ST 13 ABSOLUTE
0x00000045           0x2200000C                         LD 12 ABSOLUTE
0x00000046           0x1600000D                         MOD 13 ABSOLUTE
0x00000047           0x2600000E                         ST 14 ABSOLUTE
0x00000048           0x21000000                         LD 0 DIRECT
0x00000049           0x2600000F                         ST 15 ABSOLUTE
0x0000004A           0x2200000E                         LD 14 ABSOLUTE
0x0000004B           0x1A00000F                         CMP 15 ABSOLUTE
0x0000004C           0x31000052                         BNE 82 DIRECT
0x0000004D           0x22000017                         LD 23 ABSOLUTE
0x0000004E           0x26000010                         ST 16 ABSOLUTE
0x0000004F           0x22000014                         LD 20 ABSOLUTE
0x00000050           0x06000010                         ADD 16 ABSOLUTE
0x00000051           0x26000014                         ST 20 ABSOLUTE
0x00000052           0x21000001                         LD 1 DIRECT
0x00000053           0x26000011                         ST 17 ABSOLUTE
0x00000054           0x22000017                         LD 23 ABSOLUTE
0x00000055           0x06000011                         ADD 17 ABSOLUTE
0x00000056           0x26000017                         ST 23 ABSOLUTE
0x00000057           0x29000018                         JUMP 24 DIRECT
0x00000058           0x22000014                         LD 20 ABSOLUTE
0x00000059           0x26000012                         ST 18 ABSOLUTE
0x0000005A           0x22000015                         LD 21 ABSOLUTE
0x0000005B           0x26000013                         ST 19 ABSOLUTE
0x0000005C           0x22000012                         LD 18 ABSOLUTE
0x0000005D           0x0A000013                         SUB 19 ABSOLUTE
0x0000005E           0x26000016                         ST 22 ABSOLUTE
0x0000005F           0x22000016                         LD 22 ABSOLUTE
0x00000060           0x5C000000                         OUT
0x00000061           0x4C000000                         HLT
